Data,DiÛxido de Enxofre,PartÌculas < 10 µm,DiÛxido de Azoto,”xidos de Azoto,MonÛxido de Azoto,,
(Hora UTC),µg/m3,µg/m3,µg/m3,µg/m3,µg/m3,,
2017-01-23 06:00:00,,23310,14320,16482,1410,,
2017-01-23 07:00:00,,20540,19680,23053,2200,,
2017-01-23 08:00:00,,19980,26440,32987,4270,,
2017-01-23 09:00:00,,30800,25450,36336,7100,,
2017-01-23 10:00:00,,33300,17260,24282,4580,,
2017-01-23 11:00:00,,24140,11630,16046,2880,,
2017-01-23 12:00:00,,22200,16150,23341,4690,,
2017-01-23 13:00:00,,18870,9000,11898,1890,,
2017-01-23 14:00:00,,17760,16650,22016,3500,,
2017-01-23 15:00:00,,18870,14730,19759,3280,,
2017-01-23 16:00:00,,18870,13340,16238,1890,,
2017-01-23 17:00:00,,21650,16490,19802,2160,,
2017-01-23 18:00:00,,22200,24400,27390,1950,,
2017-01-23 19:00:00,,22200,33020,35243,1450,,
2017-01-23 20:00:00,,22200,20530,22232,1110,,
2017-01-23 21:00:00,,24980,17450,20333,1880,,
2017-01-23 22:00:00,,25530,13920,15423,980,,
2017-01-23 23:00:00,,21090,18490,21373,1880,,
2017-01-24 00:00:00,,19980,16210,18510,1500,,
2017-01-24 01:00:00,,14990,13160,14264,720,,
2017-01-24 02:00:00,,13320,11310,12705,910,,
2017-01-24 03:00:00,,13320,14340,15490,750,,
2017-01-24 04:00:00,,13320,16260,17885,1060,,
2017-01-24 05:00:00,,16100,27720,31875,2710,,
2017-01-24 06:00:00,,16650,45300,71718,17230,,
2017-01-24 07:00:00,,31360,53010,119738,43520,,
2017-01-24 08:00:00,,34410,48160,144189,62630,,
2017-01-24 09:00:00,,,55370,154589,64710,,
2017-01-24 10:00:00,,,43820,83195,25680,,
2017-01-24 11:00:00,,,29730,45109,10030,,
2017-01-24 12:00:00,,,28140,43013,9700,,
2017-01-24 13:00:00,,,12650,17250,3000,,
2017-01-24 14:00:00,,,14000,18784,3120,,
2017-01-24 15:00:00,,,,,,,
2017-01-24 16:00:00,,,,,,,
2017-01-24 17:00:00,,41070,,,,,
2017-01-24 18:00:00,,41070,,,,,
2017-01-24 19:00:00,,48560,,,,,
2017-01-24 20:00:00,,51060,,,,,
2017-01-24 21:00:00,,67710,,,,,
2017-01-24 22:00:00,,73260,,,,,
2017-01-24 23:00:00,,74090,,,,,
2017-01-25 00:00:00,,74370,,,,,
2017-01-25 01:00:00,,75200,,,,,
2017-01-25 02:00:00,,75480,,,,,
2017-01-25 03:00:00,,67990,,,,,
2017-01-25 04:00:00,,65490,,,,,
2017-01-25 05:00:00,,55500,,,,,
2017-01-25 06:00:00,,52170,,,,,
2017-01-25 07:00:00,,43010,,,,,
2017-01-25 08:00:00,,39960,,,,,
2017-01-25 09:00:00,,43290,,,,,
2017-01-25 10:00:00,,44400,,,,,
2017-01-25 11:00:00,,56060,,,,,
2017-01-25 12:00:00,,59940,,,,,
2017-01-25 13:00:00,,50780,,,,,
2017-01-25 14:00:00,3250,47730,23700,37300,8870,,
2017-01-25 15:00:00,3300,40240,24930,34789,6430,,
2017-01-25 16:00:00,2530,37740,24470,32351,5140,,
2017-01-25 17:00:00,2470,37740,33610,38992,3510,,
2017-01-25 18:00:00,2790,37740,41210,46699,3580,,
2017-01-25 19:00:00,2840,34410,43080,48753,3700,,
2017-01-25 20:00:00,3000,33300,32910,37265,2840,,
2017-01-25 21:00:00,2780,22480,24790,28393,2350,,
2017-01-25 22:00:00,2260,18870,16870,19998,2040,,
2017-01-25 23:00:00,2230,15540,9970,12991,1970,,
2017-01-26 00:00:00,540,14430,7810,9926,1380,,
2017-01-26 01:00:00,850,13600,4890,7267,1550,,
2017-01-26 02:00:00,650,13320,2620,5303,1750,,
2017-01-26 03:00:00,760,9990,3210,5127,1250,,
2017-01-26 04:00:00,890,8880,3480,5550,1350,,
2017-01-26 05:00:00,740,11380,4140,6225,1360,,
2017-01-26 06:00:00,650,12210,5970,8301,1520,,
2017-01-26 07:00:00,680,8880,8290,11127,1850,,
2017-01-26 08:00:00,560,7770,16050,19224,2070,,
2017-01-26 09:00:00,540,11100,16840,21578,3090,,
2017-01-26 10:00:00,400,12210,11540,14469,1910,,
2017-01-26 11:00:00,400,8880,16400,20801,2870,,
2017-01-26 12:00:00,840,7770,14990,18762,2460,,
2017-01-26 13:00:00,890,11100,12660,16524,2520,,
2017-01-26 14:00:00,860,12210,16430,20386,2580,,
2017-01-26 15:00:00,500,8880,14440,17783,2180,,
2017-01-26 16:00:00,620,7770,19070,22689,2360,,
2017-01-26 17:00:00,930,11100,51080,61966,7100,,
2017-01-26 18:00:00,960,12210,91400,176344,55400,,
2017-01-26 19:00:00,1380,24700,87140,191357,67970,,
2017-01-26 20:00:00,1250,28860,83520,156642,47690,,
2017-01-26 21:00:00,1070,29690,71520,104516,21520,,
2017-01-26 22:00:00,930,29970,33900,37825,2560,,
2017-01-26 23:00:00,1020,23310,25160,27981,1840,,
2017-01-27 00:00:00,520,21090,10330,12538,1440,,
2017-01-27 01:00:00,140,15260,5160,7184,1320,,
2017-01-27 02:00:00,110,13320,5210,6943,1130,,
2017-01-27 03:00:00,,9160,3910,5873,1280,,
2017-01-27 04:00:00,,7770,4210,5728,990,,
2017-01-27 05:00:00,,7770,5530,7109,1030,,
2017-01-27 06:00:00,,7770,27200,31800,3000,,
2017-01-27 07:00:00,,12770,23970,27650,2400,,
2017-01-27 08:00:00,,14430,20370,25200,3150,,
2017-01-27 09:00:00,,11100,22400,28257,3820,,
2017-01-27 10:00:00,,9990,16700,21714,3270,,
2017-01-27 11:00:00,,16650,17150,24694,4920,,
2017-01-27 12:00:00,590,18870,10180,15485,3460,,
2017-01-27 13:00:00,430,18870,8480,13294,3140,,
2017-01-27 14:00:00,210,18870,8420,12759,2830,,
2017-01-27 15:00:00,410,13040,12010,18220,4050,,
